time,gpsx,gpsy,gpsz,posx,posy,posz,velx,vely,velz,accx,accy,accz,yaw,pitch,roll,yaw_vel,pitch_vel,roll_vel,yaw_acc,pitch_acc,roll_acc
1,-86.2388329638,39.7919993959,0.016691725358,-298.634910102,-1976.79243,0.016691725358,3.22718262672,0.00409934995696,0.0211864355952,-0.511739313602,0.0104567361996,-0.192863419652,-1.55252176405,0.00877131441704,1.35088130441e-006,0.00236799940467,0.020437490195,6.98077419656e-005,0.000643693841994,0.482755541801,0.00201943679713
1.05,-86.2388329638,39.7919993959,0.016691725358,-298.631827437,-1976.96085292,0.012675027742,3.56137919426,0.00446667196229,0.0231947936118,6.6834564209,0.0157116763294,0.169910147786,-1.55239726766,0.00686424048138,1.00133170683e-005,0.00262366142124,-0.0382227748632,-0.000135208611027,0.00511323660612,-1.17320525646,-0.00410032738
1.1,-86.2388329445,39.7919978783,0.012675027742,-298.628536243,-1977.13912302,0.0170133754386,3.5436770916,0.00444688275456,0.0388343147933,-0.35207182169,0.00878148712218,0.169548287988,-1.5522689181,0.0088738803269,4.48922536628e-006,0.00258128275163,0.044766318053,0.000100237542938,-0.000847571878694,1.65978181362,0.00470892293379
1.15,-86.2388329026,39.791994635,0.011846064363,-298.625172783,-1977.32078711,0.011846064363,3.77416610718,0.00443804915994,-0.000457185145933,4.61015748978,0.0097072981298,-0.621432244778,-1.55213259525,0.00663045823543,1.77489274135e-005,0.00295251980424,-0.0594207011163,0.000129732914502,0.00742474012077,-2.08374023438,0.000589907402173
1.2,-86.2388328793,39.7919928385,0.0157625357539,-298.621487097,-1977.52016719,0.0157625357539,4.15397262573,0.00453370716423,0.071789868176,7.59871101379,0.0143712703139,1.31082201004,-1.55197667924,0.00825189701896,5.66339069687e-006,0.0032751490362,0.0585200116038,0.000414994632592,0.00645258603618,2.3588142395,0.00570523412898
1.25,-86.2388328542,39.7919909372,0.0143821899159,-298.617544969,-1977.73116344,0.0143821899159,4.26230812073,0.00483886245638,0.0108778653666,2.16683459282,0.0191496890038,-1.14628839493,-1.55182180257,0.0074154458649,1.02039918249e-005,0.00276326877065,-0.0433221459389,8.80548977875e-005,-0.0102376071736,-2.03684306145,-0.00653879437596
1.3,-86.2388328282,39.7919890348,0.0162363535945,-298.613525767,-1977.94229478,0.0162363535945,4.19805908203,0.00471932208166,0.0378474406898,-1.28406691551,0.00919782929122,0.435345202684,-1.55168481657,0.00865207268934,4.8000541385e-006,0.002733892994,0.0417162179947,2.43909908022e-005,-0.00058751180768,1.70076727867,-0.00127327803057
1.35,-86.2388328016,39.7919870956,0.012929425284,-298.60941522,-1978.15750034,0.012929425284,4.45767498016,0.004582059104,0.0289215613157,5.19162893295,0.00955990049988,-0.0393353402615,-1.55154161297,0.00705439508411,2.46288112257e-005,0.00317103252746,-0.0478864535689,-0.000506466021761,0.0087427906692,-1.79205334187,-0.0106171397492
1.4,-86.2388327726,39.7919849976,0.015746332003,-298.60494838,-1978.39033139,0.015746332003,4.76029920578,0.00473053148016,0.0582210496068,6.0539150238,0.0168695989996,0.487822532654,-1.5513922889,0.00807126404944,1.02125676522e-005,0.00281166890636,0.0550842061639,0.00101092993282,-0.00718727195635,2.05941319466,0.0303479172289
1.45,-86.2388327726,39.7919849976,0.015746332003,-298.600352897,-1978.62649745,0.015228136373,4.69131469727,0.00462743127719,0.0126695390791,-1.37918126583,0.0105172339827,-0.913330674171,-1.55125916426,0.00808862604343,-2.64976954325e-007,0.00264956546016,-0.0386855006218,-0.000247567397309,-0.00324207078665,-1.87539410591,-0.0251699462533
1.5,-86.2388327423,39.7919828696,0.015228136373,-298.595676327,-1978.8650214,0.0147724830702,4.79826068878,0.00455707171932,0.0593354217708,2.13919734955,0.0108780832961,0.956101357937,-1.55113012973,0.00784190883156,3.17084624301e-005,0.00255588116124,0.0402692854404,-0.000679631892126,-0.0018736848142,1.57909572124,-0.00864128954709
1.55,-86.23883268,39.791978558,0.0158441457523,-298.590941676,-1979.10498576,0.0158441457523,4.80658435822,0.00412740046158,0.0309518873692,0.167069524527,0.00329882325605,-0.601630628109,-1.55100651762,0.00819616858521,1.65740044989e-005,0.00247538043186,-0.0330156460404,0.00107370363548,-0.00161001784727,-1.46569859982,0.0350667089224
1.6,-86.238832648,39.7919763887,0.0150388129719,-298.586160296,-1979.34572791,0.0150388129719,4.8286614418,0.00424727099016,0.0397203154862,0.441428542137,0.013594115153,0.203452304006,-1.55089019351,0.00790301580354,2.77932857282e-005,0.00232630386017,0.0270882844925,-0.000795475614723,-0.00298152910545,1.20207858086,-0.0373835861683
1.65,-86.2388326159,39.7919742294,0.015588472213,-298.5813694,-1979.58535774,0.015588472213,4.85802459717,0.003857239848,0.0386550351977,0.593442857265,0.00284069264308,-0.0500653348863,-1.55078038408,0.00819652711294,5.48538208557e-005,0.00214793416671,-0.021753795445,0.0003087206278,-0.00360342790373,-0.986708700657,0.0223069936037
1.7,-86.2388325824,39.7919720071,0.0152149349892,-298.576410413,-1979.83198855,0.0152149349892,4.90999650955,0.00378532451577,0.0439685061574,1.02891635895,0.00876073352993,0.134590700269,-1.55067514906,0.00789069269375,4.52007106585e-005,0.00211048545316,0.0163776651025,0.000396238290705,-0.000741558207665,0.755078434944,0.00173302320763
